"Classification"	"Sample"	"percentage"
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"CONTROL7"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"CONTROL7"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"CONTROL7"	0.963
"Alphaproteobacteria"	"CONTROL7"	0
"Bacilli"	"CONTROL7"	0
"Bacteroidia"	"CONTROL7"	0
"Betaproteobacteria"	"CONTROL7"	0
"Clostridia"	"CONTROL7"	0.002
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"CONTROL7"	0.034
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"CONTROL7"	0
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"CONTROL7"	0
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"CONTROL7"	0
"Flavobacteria"	"CONTROL7"	0
"Fusobacteria"	"CONTROL7"	0
"Gammaproteobacteria"	"CONTROL7"	0
"Negativicutes"	"CONTROL7"	0
"Other"	"CONTROL7"	0
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"CONTROL7"	0
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"CONTROL7"	0
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"CONTROL7"	0
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"CONTROL7"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"CONTROL7"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"CONTROL7"	0
"Actinobacteria"	"CONTROL8"	0.042
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"CONTROL8"	0.023
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"CONTROL8"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"CONTROL8"	0.073
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"CONTROL8"	0.006
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"CONTROL8"	0.694
"Alphaproteobacteria"	"CONTROL8"	0.004
"Bacilli"	"CONTROL8"	0.018
"Bacteroidia"	"CONTROL8"	0.007
"Betaproteobacteria"	"CONTROL8"	0.015
"Clostridia"	"CONTROL8"	0.013
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"CONTROL8"	0.005
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"CONTROL8"	0.007
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"CONTROL8"	0.057
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"CONTROL8"	0.01
"Flavobacteria"	"CONTROL8"	0.006
"Fusobacteria"	"CONTROL8"	0.006
"Gammaproteobacteria"	"CONTROL8"	0.005
