taxon taxlevel rankID taxon daughterlevels total CONTROL1 CONTROL2 CONTROL3 CONTROL4 CONTROL5 CONTROL6 CONTROL7 CONTROL8 CONTROL9 CONTROL10 DISEASE1 DISEASE2 DISEASE3 DISEASE4 DISEASE5 DISEASE6 DISEASE7 DISEASE8 DISEASE9 DISEASE10
Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Oerskovia 6 0.1.2.1.2.6.2 Oerskovia 0 6 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae 5 0.1.2.1.2.7 Corynebacteriaceae 3 96983 8 166 4 194 66 74 1 23 0 334 51 185 71 44 19 45 41 36 50 370
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium 6 0.1.2.1.2.7.1 Corynebacterium 0 96529 8 166 4 194 66 74 1 23 0 334 49 178 71 42 15 37 40 29 50 370
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Turicella 6 0.1.2.1.2.7.2 Turicella 0 390 0 0 0 0 0 0 0 0 0 0 2 7 0 2 4 8 1 7 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;unclassified 6 0.1.2.1.2.7.3 unclassified 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Cryptosporangiaceae 5 0.1.2.1.2.8 Cryptosporangiaceae 1 7 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Cryptosporangiaceae;Cryptosporangium 6 0.1.2.1.2.8.1 Cryptosporangium 0 7 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Demequinaceae 5 0.1.2.1.2.9 Demequinaceae 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Demequinaceae;Demequina 6 0.1.2.1.2.9.1 Demequina 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae 5 0.1.2.1.2.10 Dermabacteraceae 4 510 0 0 0 0 0 0 0 0 0 0 3 4 6 5 0 1 7 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Brachybacterium 6 0.1.2.1.2.10.1 Brachybacterium 0 278 0 0 0 0 0 0 0 0 0 0 3 4 6 5 0 1 5 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Dermabacter 6 0.1.2.1.2.10.2 Dermabacter 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Helcobacillus 6 0.1.2.1.2.10.3 Helcobacillus 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;unclassified 6 0.1.2.1.2.10.4 unclassified 0 228 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Dermacoccaceae 5 0.1.2.1.2.11 Dermacoccaceae 3 386 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Dermacoccaceae;Dermacoccus 6 0.1.2.1.2.11.1 Dermacoccus 0 243 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Dermacoccaceae;Kytococcus 6 0.1.2.1.2.11.2 Kytococcus 0 135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Dermacoccaceae;unclassified 6 0.1.2.1.2.11.3 unclassified 0 8 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Dermatophilaceae 5 0.1.2.1.2.12 Dermatophilaceae 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Dermatophilaceae;Piscicoccus 6 0.1.2.1.2.12.1 Piscicoccus 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Dietziaceae 5 0.1.2.1.2.13 Dietziaceae 1 391 0 0 0 0 0 0 0 0 0 0 2 1 5 1 0 0 8 0 5 0
Actinobacteria;Actinobacteria;Actinomycetales;Dietziaceae;Dietzia 6 0.1.2.1.2.13.1 Dietzia 0 391 0 0 0 0 0 0 0 0 0 0 2 1 5 1 0 0 8 0 5 0
Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae 5 0.1.2.1.2.14 Geodermatophilaceae 3 140 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Blastococcus 6 0.1.2.1.2.14.1 Blastococcus 0 76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Modestobacter 6 0.1.2.1.2.14.2 Modestobacter 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;unclassified 6 0.1.2.1.2.14.3 unclassified 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Glycomycetaceae 5 0.1.2.1.2.15 Glycomycetaceae 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Actinobacteria;Actinobacteria;Actinomycetales;Glycomycetaceae;Glycomyces 6 0.1.2.1.2.15.1 Glycomyces 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
